"","LOCATION","Value","gov_right1","nld","sstran","effpar_ele","debt_hist","internetTValue","internetTLOCATION","internetTTIME","workhourTValue","workhourTLOCATION","workhourTTIME","adulteducationTValue","adulteducationTLOCATION","adulteducationTTIME","teachinghoursTValue","teachinghoursTLOCATION","teachinghoursTTIME"
"543","DNK1991",22.4,100,203,17.43,4.859558752,68.43,0,"0",0,1437,"DNK",1991,18.318893,"DNK",1991,0,"0",0
"544","DNK1992",21.9,100,151,17.88,4.859558752,72.34,0,"0",0,1453,"DNK",1992,19.203054,"DNK",1992,0,"0",0
"545","DNK1993",22.1,18.25,218,18.91,4.859558752,86.49,0,"0",0,1449,"DNK",1993,0,"0",0,0,"0",0
"546","DNK1994",18.9,13.15,240,20.02,4.766648712,80.3,0,"0",0,1407,"DNK",1994,19.617189,"DNK",1994,0,"0",0
"547","DNK1995",17.5,15,424,19.48,4.766648712,81.56,0,"0",0,1419,"DNK",1995,21.589775,"DNK",1995,0,"0",0
"548","DNK1996",16.8,15.03,930,18.89,4.766648712,79.13,0,"0",0,1412,"DNK",1996,0,"0",0,0,"0",0
"549","DNK1997",15.4,20.84,1023,17.98,4.766648712,75,0,"0",0,1428,"DNK",1997,0,"0",0,0,"0",0
"550","DNK1998",14.2,20,1258,17.43,4.740369938,72.57,0,"0",0,1441,"DNK",1998,25.355267,"DNK",1998,0,"0",0
"551","DNK1999",14.2,20,1079,16.89,4.740369938,67.1,0,"0",0,1456,"DNK",1999,26.50436,"DNK",1999,0,"0",0
"552","DNK2000",13.5,20,1081,16.27,4.740369938,60.46,0,"0",0,1466,"DNK",2000,25.777601,"DNK",2000,640,"DNK",2000
"553","DNK2001",13.3,27.67,832,16.36,4.703425505,58.28,0,"0",0,1469,"DNK",2001,28.41186,"DNK",2001,0,"0",0
"554","DNK2002",12.5,100,1349,16.49,4.703425505,58.15,0,"0",0,1463,"DNK",2002,29.61084,"DNK",2002,0,"0",0
"555","DNK2003",11.5,100,681,17.17,4.703425505,56.07,0,"0",0,1458,"DNK",2003,31.847263,"DNK",2003,0,"0",0
"556","DNK2004",12,100,804,16.86,4.703425505,52.36,0,"0",0,1458,"DNK",2004,32.848095,"DNK",2004,0,"0",0
"557","DNK2005",11.3,100,534,16.21,5.203400943,45.1,74.9174,"DNK",2005,1451,"DNK",2005,33.544121,"DNK",2005,640,"DNK",2005
"558","DNK2006",11.6,100,476,15.24,5.203400943,40.48,78.7298,"DNK",2006,1456,"DNK",2006,34.719662,"DNK",2006,648,"DNK",2006
"559","DNK2007",10.3,100,862,14.82,5.402485143,34.59,78.0544,"DNK",2007,1433,"DNK",2007,30.903458,"DNK",2007,648,"DNK",2007
"560","DNK2008",10.7,100,335,14.64,5.402485143,42.03,81.8811,"DNK",2008,1430,"DNK",2008,31.414381,"DNK",2008,648,"DNK",2008
