Area,Consumption Segment,Country,"Sector, Category or Product",name,Value
Urban,Lowest,Armenia,"Coffee, Tea and Cocoa",$PPP,0
Urban,Lowest,Armenia,"Coffee, Tea and Cocoa",Local Currency,0
Urban,Low,Armenia,"Coffee, Tea and Cocoa",US$,0
Urban,Low,Armenia,"Coffee, Tea and Cocoa",$PPP,0
Urban,Low,Armenia,"Coffee, Tea and Cocoa",Local Currency,0
Urban,All,Armenia,"Coffee, Tea and Cocoa",US$,0
Urban,All,Armenia,"Coffee, Tea and Cocoa",$PPP,0
Urban,All,Armenia,"Coffee, Tea and Cocoa",Local Currency,0
National,Higher,Azerbaijan,"Coffee, Tea and Cocoa",US$,1.997048846
National,Higher,Azerbaijan,"Coffee, Tea and Cocoa",$PPP,3.101799272
National,Higher,Azerbaijan,"Coffee, Tea and Cocoa",Local Currency,1.603630224
National,Middle,Azerbaijan,"Coffee, Tea and Cocoa",US$,23.26079445
National,Middle,Azerbaijan,"Coffee, Tea and Cocoa",$PPP,36.12846797
National,Middle,Azerbaijan,"Coffee, Tea and Cocoa",Local Currency,18.67841794
National,Lowest,Azerbaijan,"Coffee, Tea and Cocoa",US$,19.82527307
National,Lowest,Azerbaijan,"Coffee, Tea and Cocoa",$PPP,30.79244541
National,Lowest,Azerbaijan,"Coffee, Tea and Cocoa",Local Currency,15.91969428
National,Low,Azerbaijan,"Coffee, Tea and Cocoa",US$,77.30992277
National,Low,Azerbaijan,"Coffee, Tea and Cocoa",$PPP,120.0771141
National,Low,Azerbaijan,"Coffee, Tea and Cocoa",Local Currency,62.07986798
National,All,Azerbaijan,"Coffee, Tea and Cocoa",US$,122.3930355
National,All,Azerbaijan,"Coffee, Tea and Cocoa",$PPP,190.0998212
National,All,Azerbaijan,"Coffee, Tea and Cocoa",Local Currency,98.28160754
Rural,Higher,Azerbaijan,"Coffee, Tea and Cocoa",US$,0.282263552
Rural,Higher,Azerbaijan,"Coffee, Tea and Cocoa",$PPP,0.438409346
Rural,Higher,Azerbaijan,"Coffee, Tea and Cocoa",Local Currency,0.226657632
Rural,Middle,Azerbaijan,"Coffee, Tea and Cocoa",US$,7.145720364
Rural,Middle,Azerbaijan,"Coffee, Tea and Cocoa",$PPP,11.09867205
Rural,Middle,Azerbaijan,"Coffee, Tea and Cocoa",Local Currency,5.738013452
Rural,Lowest,Azerbaijan,"Coffee, Tea and Cocoa",US$,10.80618639
Rural,Lowest,Azerbaijan,"Coffee, Tea and Cocoa",$PPP,16.78407673
Rural,Lowest,Azerbaijan,"Coffee, Tea and Cocoa",Local Currency,8.67736767
Rural,Low,Azerbaijan,"Coffee, Tea and Cocoa",US$,35.28365298
Rural,Low,Azerbaijan,"Coffee, Tea and Cocoa",$PPP,54.80226953
Rural,Low,Azerbaijan,"Coffee, Tea and Cocoa",Local Currency,28.33277334
Rural,All,Azerbaijan,"Coffee, Tea and Cocoa",US$,53.51781993
Rural,All,Azerbaijan,"Coffee, Tea and Cocoa",$PPP,83.12342245
Rural,All,Azerbaijan,"Coffee, Tea and Cocoa",Local Currency,42.97480941
Urban,Higher,Azerbaijan,"Coffee, Tea and Cocoa",US$,1.714786358
Urban,Higher,Azerbaijan,"Coffee, Tea and Cocoa",$PPP,2.663391577
Urban,Higher,Azerbaijan,"Coffee, Tea and Cocoa",Local Currency,1.376973445
Urban,Middle,Azerbaijan,"Coffee, Tea and Cocoa",US$,16.11507529
Urban,Middle,Azerbaijan,"Coffee, Tea and Cocoa",$PPP,25.02979779
Urban,Middle,Azerbaijan,"Coffee, Tea and Cocoa",Local Currency,12.94040546
Urban,Lowest,Azerbaijan,"Coffee, Tea and Cocoa",US$,9.019087865
Urban,Lowest,Azerbaijan,"Coffee, Tea and Cocoa",$PPP,14.00837051
Urban,Lowest,Azerbaijan,"Coffee, Tea and Cocoa",Local Currency,7.242327555
Urban,Low,Azerbaijan,"Coffee, Tea and Cocoa",US$,42.02627099
Urban,Low,Azerbaijan,"Coffee, Tea and Cocoa",$PPP,65.27484643
Urban,Low,Azerbaijan,"Coffee, Tea and Cocoa",Local Currency,33.7470956
Urban,All,Azerbaijan,"Coffee, Tea and Cocoa",US$,68.8752168
Urban,All,Azerbaijan,"Coffee, Tea and Cocoa",$PPP,106.9764006
Urban,All,Azerbaijan,"Coffee, Tea and Cocoa",Local Currency,55.30679909
National,Higher,Bangladesh,"Coffee, Tea and Cocoa",US$,0.070950319
National,Higher,Bangladesh,"Coffee, Tea and Cocoa",$PPP,0.14966892
National,Higher,Bangladesh,"Coffee, Tea and Cocoa",Local Currency,4.941618732
National,Middle,Bangladesh,"Coffee, Tea and Cocoa",US$,2.937930251
National,Middle,Bangladesh,"Coffee, Tea and Cocoa",$PPP,6.197531697
National,Middle,Bangladesh,"Coffee, Tea and Cocoa",Local Currency,204.623904
National,Lowest,Bangladesh,"Coffee, Tea and Cocoa",US$,82.0351368
National,Lowest,Bangladesh,"Coffee, Tea and Cocoa",$PPP,173.0522229
National,Lowest,Bangladesh,"Coffee, Tea and Cocoa",Local Currency,5713.665243
National,Low,Bangladesh,"Coffee, Tea and Cocoa",US$,61.71321393
National,Low,Bangladesh,"Coffee, Tea and Cocoa",$PPP,130.1833491
National,Low,Bangladesh,"Coffee, Tea and Cocoa",Local Currency,4298.263637
